berth_name,x,y
ALPHA JTY      ,0.454197288,51.4644661
ALEXANDER WHF  ,0.093029752,51.5240784
AMEY'S JETTY   ,0.144461066,51.5141563
ANCHOR BAY WHF ,0.191385671,51.4798355
ANGERSTEINS WHF,0.021142041,51.4958458
ARSENAL PIER   ,0.071303845,51.496006
BANKSIDE PIER  ,-0.096896209,51.5088158
BARKING JETTY  ,0.11716219,51.5160027
BARKING WHARF  ,0.112779401,51.5147324
BATTERSEA PARK ,-0.157928467,51.4824791
BATTERSEA POWER,-0.144431591,51.483654
BETHELS WHARF  ,-0.001820881,51.4978561
42 BEVANS WHF  ,0.335700661,51.4489021
BEVANS WHF     ,0.331451297,51.4502449
BARRIER GARDENS,0.041668,51.495758
BRITANNIA WHARF,0.323688984,51.4558029
BREWERY WHF    ,-0.016048921,51.4810829
BUTLERS PIER   ,-0.073720641,51.5042686
CALOR GAS TERM ,0.568500757,51.5064468
CANARY WHF PIER,-0.02880156,51.5051689
CARNWATH ROAD  ,-0.197614431,51.464489
CHATHAM DOCK   ,0.524790287,51.3943672
CHERRY GDN PIER,-0.061673179,51.501133
CHAMBERS WHARF ,-0.06581068,51.5016556
CLUBBS WHF     ,0.401719511,51.445320100000004
CIVIL MARINE   ,0.258706599,51.4671097
COLDHARBOUR JET,0.184267759,51.489666
COMLEYS WHARF  ,-0.187342,51.466156
CONVOYS WHARF  ,-0.027347803,51.4879761
CONWAYS BERTH  ,0.173727334,51.4904099
CLIFFE PUMP    ,0.4584378,51.4708939
CORYTON REF.   ,0.528470278,51.5074883
CORYTON NO 1   ,0.533002377,51.5082054
CORYTON NO 2   ,0.535114527,51.5086098
CORYTON NO 3   ,0.527842522,51.5074196
CORYTON NO 4   ,0.539710343,51.5070267
CORYTON NO 5   ,0.523414969,51.5068398
DELTA WHF      ,-0.002882269,51.4999428
DENTON SHIP REP,0.388963223,51.4434624
DENTON WHF     ,0.395203143,51.4445534
DE PASS WHARF  ,0.105525002,51.5136948
DEPTFORD POWER ,-0.021049976,51.4846153
DARTFORD BRIDGE,0.259208679,51.4651299
DOCK ENT WHARF ,0.013142824000000001,51.5046539
DOCKLANDS WHARF,0.099797756,51.5145149
DREADNOUGHT WHF,-0.014805794,51.4831772
EAST JTY       ,0.145197988,51.514503499999996
EMBANKMENT PIER,-0.121016853,51.5072746
ERITH OIL WORKS,0.173196584,51.4943924
ERITH OIL INNER,0.172775462,51.4937172
ERITH OIL OUTER,0.173560709,51.4935684
ESSO PURFLEET  ,0.243517756,51.4737358
ESSO NO 1 JTY  ,0.243361473,51.4736366
FESTIVAL PIER  ,-0.117840171,51.5070267
FORDS JETTY    ,0.152995408,51.5117531
GEORGES STAIRS ,-0.07159213,51.503746
GIBBS WHF      ,0.297265232,51.4716949
GRAYS TERM 1   ,0.302277595,51.4711456
GRAYS TERM 2   ,0.305181831,51.4716301
GRAYS TERMINAL ,0.303604603,51.471653
GREENLAND ENT. ,-0.033535,51.4941025
GRANITE WHF    ,0.001364982,51.4883614
GREAT OAKLEY   ,1.22772217,51.8830605
GREENWICH PIER ,-0.009482095,51.4840469
GREENWICH TIER ,-0.016102634,51.4841614
HALLS NFLT     ,0.321618378,51.4606934
HARRISONS WHF  ,0.232180968,51.4805946
HERMITAGE WF   ,-0.067167878,51.5036888
IMPERIAL JETTY ,0.357151836,51.4462242
INSTONE WHARF  ,0.009391613,51.5071068
JOHNSONS WHARF ,0.275578648,51.4554787
JUBILEE GDNS   ,-0.120468736,51.5033875
JURGENS JETTY  ,0.254627168,51.4684753
KG V LOCK      ,0.075155556,51.501915
KIERBECK WHF   ,0.093371205,51.5220947
L/BRG CITY PIER,-0.084629059,51.5069542
LA FARGE JETTY ,0.261695266,51.4658203
LONDON GATEWAY ,0.497410297,51.5035477
LONDON GATEWAY1,0.50290513,51.5041656
LONDON GATEWAY2,0.495568693,51.5036125
LONDON GATEWAY3,0.488347381,51.5033188
LIMMO WHARF    ,0.008188744,51.5125237
LITTLEBROOK PS ,0.252976179,51.4641914
MARSH FARM     ,0.382912278,51.4517288
MAYER PARRY    ,0.188948095,51.4800606
MIDDLETON JETTY,0.155663252,51.507206
CRINGLE WHARF  ,-0.140708685,51.4831734
MILLBANK PIER  ,-0.124674439,51.491745
MILLENIUM PIER ,-0.078839071,51.5072021
MANHATTAN WHARF,0.018453421,51.500206
MONARCH PIER   ,0.176113844,51.4873466
MOHAWK WHARF   ,0.02069056,51.4992714
MOWLEMS WHARF  ,0.231937066,51.4814987
MURPHYS INNER  ,0.023383498,51.4943619
MURPHYS WHF    ,0.023429459,51.4954453
MILLWALL SLIP  ,-0.026296377,51.4940338
NORTHFLEET TERM,0.339968145,51.4479179
NFLT HOPE CONT ,0.333538055,51.4587669
NFLT HOPE LOWER,0.333979309,51.4574776
NFLT HOPE MIDDL,0.333280563,51.459301
NFLT HOPE UPPER,0.332579285,51.4610786
BECKTON OUTFALL,0.092556022,51.5137444
OAKHAMNESS JTY ,0.644545555,51.4155617
OIKOS STORAGE  ,0.55494976,51.5089455
PFLT DEEP WHF  ,0.24463892,51.473156
P.D.W.LOWER    ,0.250678927,51.4701691
P.D.W.UPPER    ,0.24758476,51.4716682
PHOENIX WHF    ,0.172242433,51.5073509
PIER WHF       ,-0.187968418,51.4639206
PINNS WHF      ,0.092852749,51.523365
PIONEER WHF    ,0.173592478,51.4963531
PIPERS WHF     ,0.001177382,51.4879189
PRIORS WHARF   ,0.001009254,51.516746500000004
HMS PRESIDENT  ,-0.071112715,51.5048637
PUTNEY DRAWDOCK,-0.2148,51.4664993
QUEEN ELIZ 2 PR,0.00926435,51.502235400000004
REG.CANAL DOCK ,-0.037505329,51.5095329
ROCHESTER      ,0.522676706,51.3971024
RIDHAM DOCK    ,0.759043694,51.3837013
