MMSI,VESSEL_NAME,VESSEL_TYPE,VESSEL_TYPE_DECODE,YearOfBuild,GrossTonnage,Powerkwmax,FuelType1First,ENGINE_TYPE
235103697,Svitzer London,XTG,tug,2014,450,,,
256759000,SD Shark,XTG,tug,2008,483,1946,MDO,Diesel
229975000,ZP Bear,XTG,tug,2015,220,,,
232003117,Svitzer Laceby,XTG,tug,1990,364,1764,MDO,Diesel
235012605,Svitzer Brunel,XTG,tug,2003,369,1491,MDO,Diesel
235034485,Princess Pocahontas,OFY,ferry,1962,180,149,,
232003119,Svitzer Cecilia,XTG,tug,1990,364,1764,MDO,Diesel
235113125,Svitzer Kent,XTG,tug,2015,447,,,
235073887,GPS Battler,OSU,support,2009,90,,,
235099481,Yasam Rose,GGC,general cargo,1983,664,349,MDO,Diesel
230652000,Norsky,URR,Roll On Roll Off,1999,20296,9450,MDO,Diesel
230653000,Norstream,URR,Roll On Roll Off,1999,20296,9450,MDO,Diesel
249040000,SD Seal,XFF,fire fighting tug,2008,486,1894,MDO,Diesel
235013782,Svitzer Bootle,XTG,tug,2003,369,1491,MDO,Diesel
209440000,Champion Jet 1,OFY,ferry,1997,5007,7174,MDO,Diesel
232003580,Sand Fulmar,DHD,hopper dredger,1998,5307,2494,MDO,Diesel
355468000,Atlantic Enterprise,RSR,seismographic research,1970,6414,4985,MDO,Diesel
235062576,Polla Rose,GGC,general cargo,1971,402,75,MDO,Diesel
244985000,Vantage,GPC,general cargo with container capacity,2007,3871,3325,MDO,Diesel
256284000,Adeline,URR,Roll On Roll Off,2012,21020,7000,,
235032474,Svitzer Harty,XTG,tug,2006,243,2129,MDO,Diesel
209361000,Samskip Innovator,UCC,fully cellular containership,2011,7852,6885,MDO,Diesel
205451000,Clementine,URR,Roll On Roll Off,1997,23986,4988,MDO,Diesel
244116000,Reimerswaal,DCS,cutter suction dredger,2012,7495,,,
205509000,Victorine,URR,Roll On Roll Off,2000,23987,4988,MDO,Diesel
246362000,Sea Charente,GGC,general cargo,1996,1638,759,MDO,Diesel
249436000,Celandine,URR,Roll On Roll Off,2000,23987,4988,MDO,Diesel
232003233,Svitzer Mercia,XFF,fire fighting tug,1990,449,1439,MDO,Diesel
235056698,Bert Prior,GGC,general cargo,1961,175,,,
249239000,Wilhelmine,URR,Roll On Roll Off,2012,21020,7000,,
249317000,Valentine,URR,Roll On Roll Off,1999,23987,4738,MDO,Diesel
235011848,Svitzer Victory,XTG,tug,2000,495,1825,MDO,Diesel
305268000,Henrike Schepers,UCC,fully cellular containership,2008,7852,8400,MDO,Diesel
235032469,Svitzer Warden,XTG,tug,2006,243,2119,,
245334000,Sea Shannon,GPC,general cargo with container capacity,1998,1670,1020,MDO,Diesel
235103165,London Titan,OWO,work ship,2015,439,2238,MDO,Diesel
271040948,Cemil Bayulgen,URR,Roll On Roll Off,2010,29004,8400,MDO,Diesel
232000840,Britannia Beaver,DDR,dredger,1991,3610,2299,MDO,Diesel
235051992,Svitzer Intrepid,XFF,fire fighting tug,2005,257,1342,,
255805838,Samskip Courier,UCC,fully cellular containership,2006,7852,8400,MDO,Diesel
235060234,Conveyor,TPD,product tanker,1979,172,127,MDO,Diesel
232002622,Svitzer Madeleine,XTG,tug,1996,381,1825,MDO,Diesel
235052242,James Prior,GGC,general cargo,1963,191,,,
232000790,City of Westminster,DTD,trailing suction dredger,1990,3914,1921,MDO,Diesel
235061472,James Newman,URR,Roll On Roll Off,1963,738,373,MDO,Diesel
235061473,Ernest Bevin,PRR,passenger ro/ro,1963,738,373,MDO,Diesel
205453000,Melusine,URR,Roll On Roll Off,1999,23987,4988,MDO,Diesel
233322000,City of London,DTD,trailing suction dredger,1989,3660,1890,MDO,Diesel
232001260,Arco Axe,DTD,trailing suction dredger,1989,3498,2981,MDO,Diesel
230620000,Bore Sea,URR,Roll On Roll Off,2011,25586,10200,MDO,Diesel
245443000,Jetsed,DDR,dredger,1987,237,,,
235002007,Boss Tug,XTG,tug,1967,114,462,MDO,Diesel
311000343,Magellan,MPR,passenger (cruise),1985,46052,11922,MDO,Diesel
232000570,Arco Beck,DTS,trailing suction hopper dredger,1989,3325,1602,MDO,Diesel
305399000,Cemisle,BCE,bulk cement carrier,2000,5133,3893,MDO,Diesel
304913000,Brigga,GPC,general cargo with container capacity,1995,2818,1825,MDO,Diesel
245381000,DC Vlaanderen 3000,DTS,trailing suction hopper dredger,2002,2744,1156,MDO,Diesel
518100092,Southern S,UCC,fully cellular containership,1999,4450,4015,MDO,Diesel
253112000,Charlemagne,DSH,suction hopper dredger,2001,5682,2700,MDO,Diesel
246255000,Ensemble,UCC,fully cellular containership,2005,7642,7200,MDO,Diesel
235053188,Hurricane Clipper,PRR,passenger ro/ro,2001,181,699,MDO,Diesel
249444000,Celestine,URR,Roll On Roll Off,1996,23986,4989,MDO,Diesel
244597000,Enforcer,UCC,fully cellular containership,2003,7642,7299,MDO,Diesel
236655000,Aastun,GPC,general cargo with container capacity,2006,4266,2999,MDO,Diesel Electric
246359000,Star Bonaire,TEO,edible oil tanker,1997,2257,1506,MDO,Diesel
232001250,Arco Arun,DTD,trailing suction dredger,1987,3476,3312,MDO,Diesel
215740000,Peregrine,URR,Roll On Roll Off,2010,25235,10800,MDO,Diesel
224655000,Encofrador,BCE,bulk cement carrier,1982,4284,1827,MDO,Diesel
356781000,Taiho Maru,BWC,wood-chip carrier,1996,40322,7281,MDO,Diesel
235096017,Steven B.,XTG,tug,1971,61,900,MDO,Diesel
305707000,Marus,UCC,fully cellular containership,1996,2906,3426,MDO,Diesel
246392000,Star Aruba,TEO,edible oil tanker,1972,1161,870,MDO,Diesel
236656000,Aasfjord,GPC,general cargo with container capacity,2006,4266,2999,MDO,Diesel Electric
232215000,Sand Falcon,DHD,hopper dredger,1998,6538,2494,MDO,Diesel
247341700,Grande Abidjan,URC,roll on roll off with container capacity,2015,71543,,,
477817800,Hai Jing,BBU,bulk carrier,2001,39126,9470,MDO,Diesel
235056986,Typhoon Clipper,OFY,ferry,2007,181,,,
247091500,Grande San Paolo,MVE,vehicle carrier,2003,56738,16678,MDO,Diesel
235053693,GPS Napia,XTG,tug,1965,128,,,
357860000,Piri Reis,BBU,bulk carrier,1997,18005,5714,MDO,Diesel
304914000,Frigga,GPC,general cargo with container capacity,1994,2818,1865,MDO,Diesel
256132000,Sider Joy,BBU,bulk carrier,2011,15861,5850,MDO,Diesel
235050523,Pluto,GPC,general cargo with container capacity,1984,1530,447,MDO,Diesel
205604000,Victor Horta,DTS,trailing suction hopper dredger,2011,5666,2700,MDO,Diesel
477013400,Shi Zi Shan,BBU,bulk carrier,2011,32962,,MDO,Diesel
246051000,RotraMare,UCC,fully cellular containership,2009,7702,9240,MDO,Diesel
664288000,Seychelles Pioneer,TCO,Combined chemical and oil tanker,2005,22346,8455,MDO,Diesel
538006368,Georgia K.,BBU,bulk carrier,2000,15071,6156,MDO,Diesel
266247000,Transtimber,URR,Roll On Roll Off,2007,23128,18000,MDO,Diesel
230927000,Seagard,URC,roll on roll off with container capacity,1999,10488,15598,MDO,Diesel
229929000,Al Zubara,UCC,fully cellular containership,2015,195636,,MDO,Diesel
235057012,Tornado Clipper,OFY,ferry,2007,181,,,
218085000,Seamarlin,TPD,product tanker,2007,26548,8340,MDO,Diesel
232001540,Waverley,MPR,passenger (cruise),1947,693,,,
215390000,Ece Nur Bayraktar,BBU,bulk carrier,2011,34422,,MDO,Diesel
247098900,Grande Amburgo,MVE,vehicle carrier,2003,56738,16678,MDO,Diesel
235057011,Monsoon Clipper,OFY,ferry,2007,181,,,
245098000,Eems Delfia,GGC,general cargo,1985,1132,588,MDO,Diesel
235060251,CPO Italy,TCO,Combined chemical and oil tanker,2008,23353,19892,MDO,Diesel
249486000,RT Adriaan,XTG,tug,2010,463,5295,MDO,Diesel Electric
538005397,STI Comandante,TCO,Combined chemical and oil tanker,2014,24162,,,
235055694,Thames Vitality,OBA,barge,1997,508,1105,MDO,Diesel
664296000,Seychelles Progress,TCO,Combined chemical and oil tanker,2005,22346,8455,MDO,Diesel
266248000,Thuleland,URR,Roll On Roll Off,2006,23128,9000,MDO,Diesel
371415000,Triades,BBU,bulk carrier,2005,16949,5850,MDO,Diesel
236597000,Aasli,GGC,general cargo,1994,3968,2028,MDO,Diesel
304219000,Splittnes,BBU,bulk carrier,1994,11538,2251,MDO,Diesel
477317200,Jia Hui Shan,BBU,bulk carrier,2011,32962,,MDO,Diesel
236543000,Grande Brasile,MVE,vehicle carrier,2000,56660,13402,MDO,Diesel
235000932,,,,,,,,
538005239,Bluefort,ORP,repair ship,1979,17914,4463,MDO,Diesel
235053647,Regain,XTG,tug,1997,200,600,,
230007000,Finnhawk,URR,Roll On Roll Off,2001,11671,12774,MDO,Diesel
236471000,ARA Atlantis,UCC,fully cellular containership,2007,9962,8400,MDO,Diesel
230367000,Finncarrier,URR,Roll On Roll Off,1998,12433,15815,MDO,Diesel
215110000,Baltic Soul,TCO,Combined chemical and oil tanker,2001,23235,9593,MDO,Diesel
477535200,Maersk Lavras,UCC,fully cellular containership,2011,89097,,,
477182800,Maersk Lamanai,UCC,fully cellular containership,2013,89505,45740,,
245405000,Star Curacao,TCH,chemical tanker,2008,3578,1800,MDO,Diesel
308165000,Arco Dijk,DTS,trailing suction hopper dredger,1992,4960,1926,MDO,Diesel
477832600,Tiger South,BBU,bulk carrier,2013,42114,,MDO,Diesel
305425000,Bulknes,BBU,bulk carrier,2009,20312,7201,MDO,Diesel
247341500,Grande Cotonou,URC,roll on roll off with container capacity,2015,71543,,,
212182000,Baltic Advance,TCO,Combined chemical and oil tanker,2006,23240,8158,MDO,Diesel
215735000,Navios Ulysses,BBU,bulk carrier,2007,30681,8208,MDO,Diesel
236481000,Andrea,UCC,fully cellular containership,2005,9981,8516,MDO,Diesel
212186000,Baltic Force,TCO,Combined chemical and oil tanker,2006,23337,11060,MDO,Diesel
636015980,CSAV Toconao,UCC,fully cellular containership,2013,96628,,MDO,Diesel
538002961,MOL Proficiency,UCC,fully cellular containership,2007,71906,62920,MDO,Diesel
564037000,Pelicana,GPC,general cargo with container capacity,2009,39258,12268,MDO,Diesel
564137000,Panamana,GPC,general cargo with container capacity,2010,39258,10404,MDO,Diesel
229926000,Al Nefud,UCC,fully cellular containership,2015,195636,,MDO,Diesel
477519400,MSC Arbatax,UCC,fully cellular containership,2013,94402,,MDO,Diesel
229930000,Barzan,UCC,fully cellular containership,2015,195636,,MDO,Diesel
353071000,Star Harmony,BBU,bulk carrier,2005,29372,7686,MDO,Diesel
230368000,Finnmaster,URR,Roll On Roll Off,1998,12433,15815,MDO,Diesel
477017600,Maersk Labrea,UCC,fully cellular containership,2013,89505,,,
235055696,Thames Bubbler,OBA,barge,1988,592,1134,MDO,Diesel
538005404,STI Wembley,TCO,Combined chemical and oil tanker,2014,24162,,MDO,Diesel
