Year,VesselType,Substance,CellID,BOROUGHNAM,REFINED,LAEIPLAExt,Emission_unit,Sailing_kg,AtBerth_kg,Total_kg,Anomaly flag
2016,RoRo Cargo / Vehicle,CO2,231,NonGLA,NonGLA,LAEI,kg/year,75688.41,145.20,75833.62,0
2016,Container ship,CO2,231,NonGLA,NonGLA,LAEI,kg/year,92.03,0.00,92.03,0
2016,Cruise ship,CO2,231,NonGLA,NonGLA,LAEI,kg/year,4083.27,0.00,4083.27,0
2016,Fishing,CO2,231,NonGLA,NonGLA,LAEI,kg/year,631.25,0.00,631.25,0
2016,General Dry Cargo,CO2,231,NonGLA,NonGLA,LAEI,kg/year,74948.36,0.00,74948.36,0
2016,Miscellaneous,CO2,231,NonGLA,NonGLA,LAEI,kg/year,236669.48,3.01,236672.49,0
2016,Non Merchant,CO2,231,NonGLA,NonGLA,LAEI,kg/year,1973.15,0.00,1973.15,0
2016,Passenger,CO2,231,NonGLA,NonGLA,LAEI,kg/year,3410.81,0.00,3410.81,0
2016,Tug/Supply,CO2,231,NonGLA,NonGLA,LAEI,kg/year,118675.26,126.38,118801.63,0
2016,Bulk carrier,CO2,231,NonGLA,NonGLA,LAEI,kg/year,4318.48,0.00,4318.48,0
2016,Oil tanker,CO2,231,NonGLA,NonGLA,LAEI,kg/year,85055.54,857144.15,942199.69,0
2016,Chemical/LNG/LPG tanker,CO2,231,NonGLA,NonGLA,LAEI,kg/year,48914.69,125686.37,174601.06,0
2016,RoRo Cargo / Vehicle,CO2,232,NonGLA,NonGLA,LAEI,kg/year,593313.40,2719980.40,3313293.81,0
2016,Passenger,CO2,232,NonGLA,NonGLA,LAEI,kg/year,208.57,0.00,208.57,0
2016,Oil tanker,CO2,232,NonGLA,NonGLA,LAEI,kg/year,1201.18,0.00,1201.18,0
2016,Non Merchant,CO2,232,NonGLA,NonGLA,LAEI,kg/year,91.75,0.00,91.75,0
2016,Miscellaneous,CO2,232,NonGLA,NonGLA,LAEI,kg/year,13312.41,31.83,13344.24,0
2016,Fishing,CO2,232,NonGLA,NonGLA,LAEI,kg/year,17.40,0.00,17.40,0
2016,Tug/Supply,CO2,232,NonGLA,NonGLA,LAEI,kg/year,15299.50,62.28,15361.77,0
2016,Cruise ship,CO2,232,NonGLA,NonGLA,LAEI,kg/year,115.42,0.00,115.42,0
2016,Container ship,CO2,232,NonGLA,NonGLA,LAEI,kg/year,2.27,0.00,2.27,0
2016,Chemical/LNG/LPG tanker,CO2,232,NonGLA,NonGLA,LAEI,kg/year,1603.95,0.00,1603.95,0
2016,Bulk carrier,CO2,232,NonGLA,NonGLA,LAEI,kg/year,132.58,0.00,132.58,0
