pollutant,group,large_grid_id,sailing_emissions,berth_emissions
NOx,1,9559,0.17,0
NOx,1,9717,0.26,0
NOx,1,9728,20.87,0
NOx,1,9729,82.75,0.01
NOx,1,9730,62.879999999999995,0
NOx,1,9731,59.42,0
NOx,1,9732,107.60000000000001,0
NOx,1,9733,45.379999999999995,0
NOx,1,9734,9.8,0
NOx,1,9886,22178.530000000002,34.13
NOx,1,9887,37178.15,12.690000000000001
NOx,1,9888,56572.08,256.7
NOx,1,9889,40391.81,1375.51
NOx,1,9890,3263.6400000000003,0
NOx,1,9891,16504.13,0
NOx,1,9892,18165.79,4.3100000000000005
NOx,1,9893,0.02,0
NOx,1,9894,18733.42,5.22
NOx,1,9895,10200.96,585.99
NOx,1,9899,2.52,1.21
NOx,1,9900,113.56,0.01
NOx,1,9901,0.05,0
NOx,1,9905,1.09,0
NOx,1,9906,54.46,0
NOx,1,9907,9.870000000000001,0
NOx,1,10058,12108.34,99.34
NOx,1,10062,3273.02,0
NOx,1,10063,0.03,0
NOx,1,10064,9293.43,2.26
NOx,1,10065,0.28,0.11
NOx,1,10066,24300.81,0.47
NOx,1,10067,1932.48,0.01
NOx,1,10068,6087.0199999999995,0
NOx,1,10069,5139.639999999999,0
NOx,1,10070,4572.110000000001,4.13
NOx,1,10071,5905.24,289.63
NOx,1,10072,49.419999999999995,2.94
NOx,1,10078,3.36,0
NOx,1,10079,43.5,0
NOx,1,10081,0.01,0
NOx,1,10229,1403.96,2.52
NOx,1,10230,19705.34,13.44
NOx,1,10236,4768.5999999999995,0
NOx,1,10237,11389.24,0.04
NOx,1,10238,11759.73,0.19
NOx,1,10251,37.62,0
NOx,1,10252,47.17,0
NOx,1,10253,46.78,0
NOx,1,10254,42.46,0
NOx,1,10255,0.4,0
NOx,1,10398,5.14,0
NOx,1,10399,86.24,0.44
NOx,1,10400,141.56,0
NOx,1,10401,483.94,0
NOx,1,10426,12.39,0
NOx,1,10427,54.58,0
NOx,1,10428,3.35,0
NOx,1,10570,5.27,0
NOx,1,10599,2.28,0
NOx,1,10600,49.9,0
NOx,1,10601,29.49,0
NOx,1,10739,1.72,0.29
NOx,1,10740,16.810000000000002,0
NOx,1,10741,2.58,0
NOx,1,10742,28.78,0
NOx,2,8871,0.12,0
NOx,2,9043,0.04,0
NOx,2,9044,0.03,0
NOx,2,9204,0,0
NOx,2,9205,0.05,0
NOx,2,9209,0.1,0
NOx,2,9216,0.07,0
NOx,2,9377,0.87,0
NOx,2,9381,0.02,0
NOx,2,9382,0.02,0
NOx,2,9383,0.16,0
NOx,2,9384,0.8999999999999999,0
NOx,2,9388,0.04,0
NOx,2,9389,0.03,0
NOx,2,9550,2.8600000000000003,0.01
NOx,2,9554,0.07,0
NOx,2,9556,1.55,0
NOx,2,9557,5.76,0.48000000000000004
NOx,2,9559,5.17,12.92
NOx,2,9560,0.64,0
NOx,2,9561,0.07,0
NOx,2,9717,0.01,0
NOx,2,9722,6.29,0
NOx,2,9723,4.74,0
NOx,2,9726,0.02,0
NOx,2,9727,0.02,0
NOx,2,9728,1254.27,0
NOx,2,9729,4624.84,2.91
NOx,2,9730,4872.0599999999995,5.95
NOx,2,9731,4635.12,0
NOx,2,9732,11324.14,10790.33
NOx,2,9733,7445.679999999999,108.26999999999998
NOx,2,9734,976.72,0
